ID State,State,ID County,County,Latitude,Longitude,yr_2023,yr_2022,yr_2021,yr_2020,yr_2019,yr_2018,yr_2017
04000US55,Wisconsin,05000US55001,"Adams County, WI",43.9462246,-89.7836456,0.223,0.181,0.182,0.237,0.248,0.252,0.293
04000US55,Wisconsin,05000US55003,"Ashland County, WI",46.2062319,-90.6802594,0.211,0.17,0.233,0.231,0.226,0.219,0.251
04000US55,Wisconsin,05000US55005,"Barron County, WI",45.423557,-91.8454099,0.129,0.137,0.119,0.154,0.167,0.165,0.17
04000US55,Wisconsin,05000US55007,"Bayfield County, WI",46.4710241,-91.1983175,0.185,0.175,0.177,0.229,0.215,0.197,0.207
04000US55,Wisconsin,05000US55009,"Brown County, WI",44.4383498,-88.0167093,0.107,0.086,0.124,0.107,0.127,0.121,0.144
04000US55,Wisconsin,05000US55011,"Buffalo County, WI",44.4073658,-91.7547858,0.106,0.107,0.124,0.125,0.125,0.142,0.135
04000US55,Wisconsin,05000US55013,"Burnett County, WI",45.8652437,-92.2673161,0.177,0.131,0.229,0.195,0.207,0.232,0.223
04000US55,Wisconsin,05000US55015,"Calumet County, WI",44.0751086,-88.2144321,0.065,0.045,0.065,0.063,0.065,0.062,0.076
04000US55,Wisconsin,05000US55017,"Chippewa County, WI",45.0740585,-91.2947258,0.132,0.118,0.121,0.149,0.135,0.162,0.153
04000US55,Wisconsin,05000US55019,"Clark County, WI",44.7188146,-90.6214928,0.18,0.211,0.222,0.181,0.187,0.216,0.21
04000US55,Wisconsin,05000US55021,"Columbia County, WI",43.4641929,-89.3478429,0.106,0.074,0.08,0.098,0.1,0.113,0.126
04000US55,Wisconsin,05000US55023,"Crawford County, WI",43.2271639,-90.8938474,0.175,0.192,0.161,0.192,0.184,0.204,0.206
04000US55,Wisconsin,05000US55025,"Dane County, WI",43.0709273,-89.4322174,0.101,0.086,0.072,0.084,0.093,0.1,0.104
04000US55,Wisconsin,05000US55027,"Dodge County, WI",43.413614,-88.7177834,0.1,0.075,0.095,0.108,0.1,0.126,0.117
04000US55,Wisconsin,05000US55029,"Door County, WI",44.7615925,-87.5329747,0.12,0.112,0.138,0.128,0.117,0.14,0.145
04000US55,Wisconsin,05000US55031,"Douglas County, WI",46.4396038,-91.9059158,0.183,0.11,0.158,0.143,0.151,0.168,0.201
04000US55,Wisconsin,05000US55033,"Dunn County, WI",44.9333564,-91.8994409,0.128,0.097,0.129,0.118,0.134,0.133,0.162
04000US55,Wisconsin,05000US55035,"Eau Claire County, WI",44.7257643,-91.3040313,0.115,0.105,0.111,0.126,0.14,0.14,0.157
04000US55,Wisconsin,05000US55037,"Florence County, WI",45.8379973,-88.3902943,0.165,0.168,0.168,0.184,0.19,0.203,0.202
04000US55,Wisconsin,05000US55039,"Fond du Lac County, WI",43.7533414,-88.4493796,0.109,0.094,0.101,0.119,0.116,0.113,0.123
04000US55,Wisconsin,05000US55041,"Forest County, WI",45.625108,-88.806738,0.215,0.172,0.232,0.209,0.227,0.228,0.223
04000US55,Wisconsin,05000US55043,"Grant County, WI",42.8855277,-90.6991696,0.13,0.145,0.154,0.145,0.154,0.17,0.167
04000US55,Wisconsin,05000US55045,"Green County, WI",42.6791433,-89.6076428,0.096,0.085,0.088,0.1,0.108,0.106,0.107
04000US55,Wisconsin,05000US55047,"Green Lake County, WI",43.7971612,-89.0402508,0.203,0.136,0.185,0.175,0.171,0.19,0.199
04000US55,Wisconsin,05000US55049,"Iowa County, WI",42.9732457,-90.1334393,0.105,0.087,0.114,0.1,0.109,0.12,0.123
04000US55,Wisconsin,05000US55051,"Iron County, WI",46.2254778,-90.2125304,0.187,0.176,0.208,0.201,0.229,0.202,0.205
04000US55,Wisconsin,05000US55053,"Jackson County, WI",44.3016847,-90.8085198,0.181,0.172,0.16,0.169,0.174,0.162,0.196
04000US55,Wisconsin,05000US55055,"Jefferson County, WI",43.0224668,-88.7673031,0.091,0.079,0.084,0.104,0.101,0.11,0.124
04000US55,Wisconsin,05000US55057,"Juneau County, WI",43.9532381,-90.1218405,0.171,0.134,0.193,0.184,0.224,0.209,0.212
04000US55,Wisconsin,05000US55059,"Kenosha County, WI",42.5729233,-88.0679837,0.139,0.127,0.123,0.154,0.16,0.19,0.189
04000US55,Wisconsin,05000US55061,"Kewaunee County, WI",44.521282,-87.6301086,0.087,0.07,0.086,0.089,0.086,0.092,0.103
04000US55,Wisconsin,05000US55063,"La Crosse County, WI",43.8890516,-91.0902393,0.11,0.081,0.096,0.085,0.105,0.119,0.124
04000US55,Wisconsin,05000US55065,"Lafayette County, WI",42.6632391,-90.1317754,0.154,0.135,0.159,0.169,0.161,0.18,0.169
04000US55,Wisconsin,05000US55067,"Langlade County, WI",45.2728122,-89.067113,0.184,0.171,0.199,0.206,0.205,0.23,0.228
04000US55,Wisconsin,05000US55069,"Lincoln County, WI",45.3265631,-89.7326216,0.147,0.105,0.122,0.13,0.141,0.146,0.147
04000US55,Wisconsin,05000US55071,"Manitowoc County, WI",44.0998341,-87.827992,0.13,0.099,0.121,0.13,0.13,0.114,0.151
04000US55,Wisconsin,05000US55073,"Marathon County, WI",44.8914036,-89.7748098,0.095,0.078,0.112,0.089,0.125,0.14,0.135
04000US55,Wisconsin,05000US55075,"Marinette County, WI",45.3834983,-88.0409574,0.159,0.141,0.17,0.165,0.189,0.17,0.186
04000US55,Wisconsin,05000US55077,"Marquette County, WI",43.8122244,-89.3926785,0.187,0.144,0.143,0.163,0.19,0.2,0.196
04000US55,Wisconsin,05000US55078,"Menominee County, WI",45.0154357,-88.7089153,0.412,0.367,0.44,0.433,0.444,0.411,0.509
04000US55,Wisconsin,05000US55079,"Milwaukee County, WI",43.0180325,-87.58075461,0.236,0.255,0.24,0.272,0.26,0.284,0.295
04000US55,Wisconsin,05000US55081,"Monroe County, WI",43.9416755,-90.6397264,0.151,0.142,0.164,0.201,0.183,0.195,0.196
04000US55,Wisconsin,05000US55083,"Oconto County, WI",44.9988053,-88.2480072,0.11,0.095,0.127,0.126,0.128,0.131,0.139
04000US55,Wisconsin,05000US55085,"Oneida County, WI",45.6879163,-89.4779558,0.134,0.112,0.126,0.137,0.147,0.156,0.162
04000US55,Wisconsin,05000US55087,"Outagamie County, WI",44.41603,-88.4602005,0.086,0.077,0.093,0.08,0.083,0.103,0.12
04000US55,Wisconsin,05000US55089,"Ozaukee County, WI",43.3569041,-87.9579748,0.045,0.034,0.044,0.039,0.045,0.048,0.052
04000US55,Wisconsin,05000US55091,"Pepin County, WI",44.6351571,-92.0101928,0.158,0.132,0.141,0.155,0.164,0.181,0.169
04000US55,Wisconsin,05000US55093,"Pierce County, WI",44.7186568,-92.3786114,0.079,0.058,0.07,0.071,0.069,0.078,0.092
04000US55,Wisconsin,05000US55095,"Polk County, WI",45.4318573,-92.407472,0.119,0.113,0.119,0.133,0.122,0.13,0.142
04000US55,Wisconsin,05000US55097,"Portage County, WI",44.4604931,-89.5108818,0.108,0.081,0.105,0.099,0.106,0.116,0.121
04000US55,Wisconsin,05000US55099,"Price County, WI",45.676627,-90.368792,0.209,0.172,0.218,0.184,0.172,0.168,0.182
04000US55,Wisconsin,05000US55101,"Racine County, WI",42.7303792,-87.68034968,0.182,0.137,0.168,0.176,0.179,0.201,0.184
04000US55,Wisconsin,05000US55103,"Richland County, WI",43.3662526,-90.4557081,0.202,0.18,0.185,0.201,0.205,0.212,0.218
04000US55,Wisconsin,05000US55105,"Rock County, WI",42.6654418,-89.081772,0.144,0.122,0.177,0.15,0.175,0.193,0.201
04000US55,Wisconsin,05000US55107,"Rusk County, WI",45.4589749,-91.1240967,0.206,0.194,0.214,0.234,0.219,0.218,0.232
04000US55,Wisconsin,05000US55109,"St. Croix County, WI",45.0312388,-92.4679305,0.056,0.045,0.066,0.051,0.052,0.062,0.069
04000US55,Wisconsin,05000US55111,"Sauk County, WI",43.4401728,-89.9653841,0.141,0.105,0.15,0.116,0.141,0.144,0.168
04000US55,Wisconsin,05000US55113,"Sawyer County, WI",45.8731634,-91.1468287,0.227,0.184,0.208,0.236,0.292,0.255,0.278
04000US55,Wisconsin,05000US55115,"Shawano County, WI",44.7817214,-88.7118868,0.133,0.13,0.146,0.153,0.176,0.185,0.188
04000US55,Wisconsin,05000US55117,"Sheboygan County, WI",43.7128967,-87.9370433,0.107,0.086,0.114,0.105,0.098,0.107,0.118
04000US55,Wisconsin,05000US55119,"Taylor County, WI",45.2057106,-90.4915874,0.152,0.135,0.125,0.154,0.156,0.183,0.195
04000US55,Wisconsin,05000US55121,"Trempealeau County, WI",44.2782406,-91.3828806,0.117,0.092,0.113,0.106,0.114,0.117,0.135
04000US55,Wisconsin,05000US55123,"Vernon County, WI",43.5811229,-90.8231247,0.228,0.201,0.238,0.213,0.271,0.259,0.264
04000US55,Wisconsin,05000US55125,"Vilas County, WI",46.0382686,-89.4734462,0.195,0.169,0.19,0.201,0.245,0.206,0.228
04000US55,Wisconsin,05000US55127,"Walworth County, WI",42.6711513,-88.5467715,0.108,0.094,0.093,0.113,0.118,0.12,0.147
04000US55,Wisconsin,05000US55129,"Washburn County, WI",45.8926321,-91.7971652,0.186,0.141,0.183,0.177,0.187,0.212,0.227
04000US55,Wisconsin,05000US55131,"Washington County, WI",43.3734986,-88.2370888,0.058,0.046,0.056,0.049,0.054,0.061,0.064
04000US55,Wisconsin,05000US55133,"Waukesha County, WI",43.0622536,-88.3123889,0.049,0.037,0.052,0.048,0.05,0.054,0.051
04000US55,Wisconsin,05000US55135,"Waupaca County, WI",44.4927889,-88.9650419,0.138,0.11,0.122,0.139,0.161,0.146,0.144
04000US55,Wisconsin,05000US55137,"Waushara County, WI",44.1103406,-89.2347222,0.196,0.145,0.188,0.162,0.193,0.235,0.202
04000US55,Wisconsin,05000US55139,"Winnebago County, WI",44.0697014,-88.6516527,0.119,0.085,0.118,0.116,0.127,0.141,0.133
04000US55,Wisconsin,05000US55141,"Wood County, WI",44.4517617,-90.0199618,0.145,0.115,0.153,0.132,0.139,0.14,0.161